date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:05	5721/5721	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:07%20GMT	https://coreui.io/robots.txt		(from )
09:54:05	34725/34725	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2015:05:51%20GMT	https://coreui.io/demo/dark/	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/index.html	(from )
09:54:05	4692/4692	---M-Z	200	added ('OK')	text/css	etag:W/%225d56c64f-1254%22	https://coreui.io/demo/dark/vendors/@coreui/icons/css/coreui-icons.min.css	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/@coreui/icons/css/coreui-icons.min.css	(from https://coreui.io/demo/dark/)
09:54:05	33688/33688	---M-Z	200	added ('OK')	text/css	etag:W/%225d56c650-8398%22	https://coreui.io/demo/dark/vendors/flag-icon-css/css/flag-icon.min.css	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/flag-icon-css/css/flag-icon.min.css	(from https://coreui.io/demo/dark/)
09:54:05	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225d56c650-7918%22	https://coreui.io/demo/dark/vendors/font-awesome/css/font-awesome.min.css	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/font-awesome/css/font-awesome.min.css	(from https://coreui.io/demo/dark/)
09:54:06	10943/10943	---MCZ	200	added ('OK')	text/css	etag:W/%225d56c650-329e%22	https://coreui.io/demo/dark/vendors/simple-line-icons/css/simple-line-icons.css	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/simple-line-icons/css/simple-line-icons.css	(from https://coreui.io/demo/dark/)
09:54:06	256740/256740	---MCZ	200	added ('OK')	text/css	etag:W/%225d56c64f-4c341%22	https://coreui.io/demo/dark/css/style.css	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/css/style.css	(from https://coreui.io/demo/dark/)
09:54:06	1731/1731	---M-Z	200	added ('OK')	text/css	etag:W/%225d56c650-6c3%22	https://coreui.io/demo/dark/vendors/pace-progress/css/pace.min.css	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/vendors/pace-progress/css/pace.min.css	(from https://coreui.io/demo/dark/)
09:54:06	44343/44343	---MC-	200	added ('OK')	text/javascript	date:Mon,%2029%20Jul%202019%2021:35:27%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/user/Downloads/coreuidark/coreuidark/www.google-analytics.com/analytics.js	(from https://coreui.io/demo/dark/)
09:54:07	7022/7022	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d56c64f-1b6e%22	https://coreui.io/demo/dark/img/brand/logo.svg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/img/brand/logo.svg	(from https://coreui.io/demo/dark/)
09:54:07	1460/1460	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d56c64f-5b4%22	https://coreui.io/demo/dark/img/brand/sygnet.svg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/img/brand/sygnet.svg	(from https://coreui.io/demo/dark/)
09:54:07	2059/2059	---M--	200	added ('OK')	image/jpeg	etag:%225d56c64f-80b%22	https://coreui.io/demo/dark/img/avatars/7.jpg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/img/avatars/7.jpg	(from https://coreui.io/demo/dark/)
09:54:07	1608/1608	---M--	200	added ('OK')	image/jpeg	etag:%225d56c64f-648%22	https://coreui.io/demo/dark/img/avatars/6.jpg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/img/avatars/6.jpg	(from https://coreui.io/demo/dark/)
09:54:07	19058/19058	---M--	200	added ('OK')	image/jpeg	etag:%225d56c64f-4a72%22	https://coreui.io/demo/dark/img/avatars/5.jpg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/img/avatars/5.jpg	(from https://coreui.io/demo/dark/)
09:54:08	2580/2580	---M--	200	added ('OK')	image/jpeg	etag:%225d56c64f-a14%22	https://coreui.io/demo/dark/img/avatars/4.jpg	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/img/avatars/4.jpg	(from https://coreui.io/demo/dark/)
09:54:08	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:10%20GMT	https://coreui.io/demo/dark/main.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/main.html	(from https://coreui.io/demo/dark/)
09:54:08	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:11%20GMT	https://coreui.io/demo/dark/colors.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/colors.html	(from https://coreui.io/demo/dark/)
09:54:08	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:11%20GMT	https://coreui.io/demo/dark/typography.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/typography.html	(from https://coreui.io/demo/dark/)
